source,target,type
879,857,same_director
879,873,same_director
881,235,same_director
881,639,same_director
883,308,same_director
883,339,same_director
883,922,same_director
887,665,same_director
887,804,same_director
888,889,same_director
889,888,same_director
891,466,same_director
898,982,same_director
907,826,same_director
907,947,same_director
910,301,same_director
910,759,same_director
913,106,same_director
913,562,same_director
916,849,same_director
918,164,same_director
918,936,same_director
920,862,same_director
920,863,same_director
921,453,same_director
921,568,same_director
921,591,same_director
921,847,same_director
922,308,same_director
922,339,same_director
922,883,same_director
925,388,same_director
927,928,same_director
928,927,same_director
929,435,same_director
929,602,same_director
935,185,same_director
935,345,same_director
935,600,same_director
935,694,same_director
935,802,same_director
935,967,same_director
936,164,same_director
936,918,same_director
941,526,same_director
941,794,same_director
941,942,same_director
941,943,same_director
941,944,same_director
942,526,same_director
942,794,same_director
942,941,same_director
942,943,same_director
942,944,same_director
943,526,same_director
943,794,same_director
943,941,same_director
943,942,same_director
943,944,same_director
944,526,same_director
944,794,same_director
944,941,same_director
944,942,same_director
944,943,same_director
947,826,same_director
947,907,same_director
948,790,same_director
951,620,same_director
954,111,same_director
954,117,same_director
955,754,same_director
963,488,same_director
967,185,same_director
967,345,same_director
967,600,same_director
967,694,same_director
967,802,same_director
967,935,same_director
978,192,same_director
978,853,same_director
982,898,same_director
985,404,same_director
985,483,same_director
985,638,same_director
985,793,same_director
985,841,same_director
993,705,same_director
995,596,same_director
996,239,same_director
996,284,same_director
996,430,same_director
996,599,same_director
